product_id,product_name,description
P001,Smartphone X100,"Smartphone com câmera de 48MP, 128GB de armazenamento e bateria de longa duração."
P002,Laptop Pro 15,"Notebook com processador Intel i7, 16GB RAM, 512GB SSD e tela de 15 polegadas."
P003,Fone de Ouvido Wireless,Fone de ouvido sem fio com cancelamento de ruído e até 20h de reprodução.
P004,Mochila de Viagem,"Mochila resistente, à prova d'água, com compartimento para laptop e USB externa."
P005,Relógio Inteligente,"Relógio inteligente com monitor de batimentos, GPS integrado e notificações."
P006,Câmera Digital HD,Câmera digital HD com zoom óptico 10x e gravação de vídeo em 4K.
P007,Tablet Plus,"Tablet com tela de 10.5"", 4GB RAM, 64GB armazenamento e caneta inclusa."
P008,Caixa de Som Bluetooth,"Caixa de som portátil com Bluetooth 5.0, à prova d'água e som estéreo."
P009,Teclado Mecânico RGB,"Teclado mecânico com switches azuis, iluminação RGB e design compacto."
P010,Mouse Óptico Sem Fio,Mouse óptico sem fio com sensor de alta precisão e DPI ajustável.
